Geographic Area Name,County,State,Year,Owner-occupied housing units with a mortgage!!Estimate!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS ( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars),Owner-occupied housing units with a mortgage!!Estimate!!MONTHLY HOUSING COSTS!!Median (dollars),( INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars) per month,% of monthly Household Income Spent on Housing Cost
"Moore County, North Carolina",Moore County, North Carolina,2016,"$75,263.00 ","$1,313.00 ","$6,271.92 ",21%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2015,"$75,288.00 ","$1,654.00 ","$6,274.00 ",26%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2017,"$75,297.00 ","$1,161.00 ","$6,274.75 ",19%
"Davie County, North Carolina",Davie County, North Carolina,2016,"$75,355.00 ","$1,164.00 ","$6,279.58 ",19%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2012,"$75,409.00 ","$1,521.00 ","$6,284.08 ",24%
"Chatham County, North Carolina",Chatham County, North Carolina,2013,"$75,436.00 ","$1,458.00 ","$6,286.33 ",23%
"Lexington County, South Carolina",Lexington County, South Carolina,2016,"$75,453.00 ","$1,174.00 ","$6,287.75 ",19%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2016,"$75,519.00 ","$1,403.00 ","$6,293.25 ",22%
"Currituck County, North Carolina",Currituck County, North Carolina,2014,"$75,661.00 ","$1,596.00 ","$6,305.08 ",25%
"Pasquotank County, North Carolina",Pasquotank County, North Carolina,2017,"$75,752.00 ","$1,342.00 ","$6,312.67 ",21%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2017,"$75,843.00 ","$1,270.00 ","$6,320.25 ",20%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2013,"$75,882.00 ","$1,528.00 ","$6,323.50 ",24%
"Pitt County, North Carolina",Pitt County, North Carolina,2016,"$75,964.00 ","$1,243.00 ","$6,330.33 ",20%
"York County, South Carolina",York County, South Carolina,2012,"$76,011.00 ","$1,332.00 ","$6,334.25 ",21%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2014,"$76,062.00 ","$1,359.00 ","$6,338.50 ",21%
"Charleston County, South Carolina",Charleston County, South Carolina,2011,"$76,099.00 ","$1,660.00 ","$6,341.58 ",26%
"Granville County, North Carolina",Granville County, North Carolina,2017,"$76,130.00 ","$1,247.00 ","$6,344.17 ",20%
"Johnston County, North Carolina",Johnston County, North Carolina,2017,"$76,133.00 ","$1,232.00 ","$6,344.42 ",19%
"York County, South Carolina",York County, South Carolina,2011,"$76,144.00 ","$1,338.00 ","$6,345.33 ",21%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2015,"$76,200.00 ","$1,407.00 ","$6,350.00 ",22%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2011,"$76,293.00 ","$1,745.00 ","$6,357.75 ",27%
"Chatham County, North Carolina",Chatham County, North Carolina,2014,"$76,332.00 ","$1,487.00 ","$6,361.00 ",23%
"Currituck County, North Carolina",Currituck County, North Carolina,2016,"$76,361.00 ","$1,516.00 ","$6,363.42 ",24%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2016,"$76,432.00 ","$1,609.00 ","$6,369.33 ",25%
"Currituck County, North Carolina",Currituck County, North Carolina,2015,"$76,434.00 ","$1,568.00 ","$6,369.50 ",25%
"Carteret County, North Carolina",Carteret County, North Carolina,2018,"$76,460.00 ","$1,404.00 ","$6,371.67 ",22%
"Richland County, South Carolina",Richland County, South Carolina,2016,"$76,486.00 ","$1,259.00 ","$6,373.83 ",20%
"Anderson County, South Carolina",Anderson County, South Carolina,2018,"$76,541.00 ","$1,108.00 ","$6,378.42 ",17%
"Charleston County, South Carolina",Charleston County, South Carolina,2012,"$76,637.00 ","$1,688.00 ","$6,386.42 ",26%
"Lexington County, South Carolina",Lexington County, South Carolina,2017,"$76,669.00 ","$1,180.00 ","$6,389.08 ",18%
"Davie County, North Carolina",Davie County, North Carolina,2017,"$76,678.00 ","$1,171.00 ","$6,389.83 ",18%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2013,"$76,692.00 ","$1,730.00 ","$6,391.00 ",27%
"Dare County, North Carolina",Dare County, North Carolina,2018,"$76,890.00 ","$1,712.00 ","$6,407.50 ",27%
"York County, South Carolina",York County, South Carolina,2013,"$76,961.00 ","$1,296.00 ","$6,413.42 ",20%
"York County, South Carolina",York County, South Carolina,2014,"$77,012.00 ","$1,271.00 ","$6,417.67 ",20%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2014,"$77,033.00 ","$1,695.00 ","$6,419.42 ",26%
"Guilford County, North Carolina",Guilford County, North Carolina,2017,"$77,108.00 ","$1,253.00 ","$6,425.67 ",19%
"Greenville County, South Carolina",Greenville County, South Carolina,2016,"$77,128.00 ","$1,203.00 ","$6,427.33 ",19%
"Buncombe County, North Carolina",Buncombe County, North Carolina,2018,"$77,303.00 ","$1,330.00 ","$6,441.92 ",21%
"Johnston County, North Carolina",Johnston County, North Carolina,2018,"$77,316.00 ","$1,252.00 ","$6,443.00 ",19%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2017,"$77,325.00 ","$1,187.00 ","$6,443.75 ",18%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2012,"$77,448.00 ","$1,743.00 ","$6,454.00 ",27%
"Durham County, North Carolina",Durham County, North Carolina,2010,"$77,468.00 ","$1,421.00 ","$6,455.67 ",22%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2017,"$77,473.00 ","$1,436.00 ","$6,456.08 ",22%
"Forsyth County, North Carolina",Forsyth County, North Carolina,2018,"$77,534.00 ","$1,208.00 ","$6,461.17 ",19%
"Chatham County, North Carolina",Chatham County, North Carolina,2010,"$77,642.00 ","$1,328.00 ","$6,470.17 ",21%
"Bamberg County, South Carolina",Bamberg County, South Carolina,2017,"$77,906.00 ",$965.00 ,"$6,492.17 ",15%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2015,"$77,914.00 ","$1,327.00 ","$6,492.83 ",20%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2014,"$78,042.00 ","$1,500.00 ","$6,503.50 ",23%
"Watauga County, North Carolina",Watauga County, North Carolina,2017,"$78,110.00 ","$1,367.00 ","$6,509.17 ",21%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2010,"$78,435.00 ","$1,454.00 ","$6,536.25 ",22%
"Durham County, North Carolina",Durham County, North Carolina,2011,"$78,487.00 ","$1,449.00 ","$6,540.58 ",22%
"Richland County, South Carolina",Richland County, South Carolina,2017,"$78,508.00 ","$1,273.00 ","$6,542.33 ",19%
"Lexington County, South Carolina",Lexington County, South Carolina,2018,"$78,510.00 ","$1,191.00 ","$6,542.50 ",18%
"Guilford County, North Carolina",Guilford County, North Carolina,2018,"$78,682.00 ","$1,259.00 ","$6,556.83 ",19%
"York County, South Carolina",York County, South Carolina,2015,"$78,717.00 ","$1,246.00 ","$6,559.75 ",19%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2015,"$78,846.00 ","$1,483.00 ","$6,570.50 ",23%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2016,"$78,886.00 ","$1,485.00 ","$6,573.83 ",23%
"Chatham County, North Carolina",Chatham County, North Carolina,2011,"$78,967.00 ","$1,452.00 ","$6,580.58 ",22%
"Lincoln County, North Carolina",Lincoln County, North Carolina,2018,"$79,013.00 ","$1,198.00 ","$6,584.42 ",18%
"Camden County, North Carolina",Camden County, North Carolina,2013,"$79,025.00 ","$1,701.00 ","$6,585.42 ",26%
"Berkeley County, South Carolina",Berkeley County, South Carolina,2018,"$79,114.00 ","$1,326.00 ","$6,592.83 ",20%
"Charleston County, South Carolina",Charleston County, South Carolina,2013,"$79,115.00 ","$1,682.00 ","$6,592.92 ",26%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2017,"$79,281.00 ","$1,613.00 ","$6,606.75 ",24%
"Pitt County, North Carolina",Pitt County, North Carolina,2017,"$79,407.00 ","$1,285.00 ","$6,617.25 ",19%
"Granville County, North Carolina",Granville County, North Carolina,2018,"$79,444.00 ","$1,284.00 ","$6,620.33 ",19%
"Moore County, North Carolina",Moore County, North Carolina,2017,"$79,499.00 ","$1,343.00 ","$6,624.92 ",20%
"Camden County, North Carolina",Camden County, North Carolina,2014,"$79,500.00 ","$1,720.00 ","$6,625.00 ",26%
"Iredell County, North Carolina",Iredell County, North Carolina,2017,"$79,500.00 ","$1,280.00 ","$6,625.00 ",19%
"Dorchester County, South Carolina",Dorchester County, South Carolina,2018,"$79,928.00 ","$1,448.00 ","$6,660.67 ",22%
"Greenville County, South Carolina",Greenville County, South Carolina,2017,"$80,004.00 ","$1,212.00 ","$6,667.00 ",18%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2011,"$80,011.00 ","$1,484.00 ","$6,667.58 ",22%
"Camden County, North Carolina",Camden County, North Carolina,2018,"$80,076.00 ","$1,633.00 ","$6,673.00 ",24%
"Edgefield County, South Carolina",Edgefield County, South Carolina,2018,"$80,202.00 ","$1,182.00 ","$6,683.50 ",18%
"Currituck County, North Carolina",Currituck County, North Carolina,2017,"$80,269.00 ","$1,569.00 ","$6,689.08 ",23%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2012,"$80,270.00 ","$1,488.00 ","$6,689.17 ",22%
"Davie County, North Carolina",Davie County, North Carolina,2018,"$80,321.00 ","$1,208.00 ","$6,693.42 ",18%
"Camden County, North Carolina",Camden County, North Carolina,2012,"$80,439.00 ","$1,688.00 ","$6,703.25 ",25%
"Watauga County, North Carolina",Watauga County, North Carolina,2018,"$80,563.00 ","$1,371.00 ","$6,713.58 ",20%
"Chatham County, North Carolina",Chatham County, North Carolina,2015,"$80,700.00 ","$1,492.00 ","$6,725.00 ",22%
"Pitt County, North Carolina",Pitt County, North Carolina,2018,"$80,851.00 ","$1,285.00 ","$6,737.58 ",19%
"Union County, North Carolina",Union County, North Carolina,2010,"$80,890.00 ","$1,463.00 ","$6,740.83 ",22%
"Lancaster County, South Carolina",Lancaster County, South Carolina,2018,"$81,012.00 ","$1,217.00 ","$6,751.00 ",18%
"Durham County, North Carolina",Durham County, North Carolina,2012,"$81,052.00 ","$1,447.00 ","$6,754.33 ",21%
"Richland County, South Carolina",Richland County, South Carolina,2018,"$81,055.00 ","$1,294.00 ","$6,754.58 ",19%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2013,"$81,103.00 ","$1,474.00 ","$6,758.58 ",22%
"Union County, North Carolina",Union County, North Carolina,2011,"$81,483.00 ","$1,487.00 ","$6,790.25 ",22%
"Iredell County, North Carolina",Iredell County, North Carolina,2018,"$81,520.00 ","$1,303.00 ","$6,793.33 ",19%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2017,"$81,523.00 ","$1,498.00 ","$6,793.58 ",22%
"Camden County, North Carolina",Camden County, North Carolina,2017,"$81,824.00 ","$1,701.00 ","$6,818.67 ",25%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2016,"$81,910.00 ","$1,339.00 ","$6,825.83 ",20%
"York County, South Carolina",York County, South Carolina,2016,"$81,912.00 ","$1,263.00 ","$6,826.00 ",19%
"Camden County, North Carolina",Camden County, North Carolina,2010,"$82,134.00 ","$1,552.00 ","$6,844.50 ",23%
"Camden County, North Carolina",Camden County, North Carolina,2016,"$82,198.00 ","$1,676.00 ","$6,849.83 ",24%
"Charleston County, South Carolina",Charleston County, South Carolina,2014,"$82,284.00 ","$1,683.00 ","$6,857.00 ",25%
"Durham County, North Carolina",Durham County, North Carolina,2013,"$82,343.00 ","$1,434.00 ","$6,861.92 ",21%
"Currituck County, North Carolina",Currituck County, North Carolina,2018,"$82,344.00 ","$1,625.00 ","$6,862.00 ",24%
"Union County, North Carolina",Union County, North Carolina,2014,"$82,388.00 ","$1,472.00 ","$6,865.67 ",21%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2014,"$82,478.00 ","$1,453.00 ","$6,873.17 ",21%
"Camden County, North Carolina",Camden County, North Carolina,2015,"$82,529.00 ","$1,663.00 ","$6,877.42 ",24%
"Greenville County, South Carolina",Greenville County, South Carolina,2018,"$82,562.00 ","$1,237.00 ","$6,880.17 ",18%
"New Hanover County, North Carolina",New Hanover County, North Carolina,2018,"$82,612.00 ","$1,510.00 ","$6,884.33 ",22%
"Union County, North Carolina",Union County, North Carolina,2012,"$82,686.00 ","$1,506.00 ","$6,890.50 ",22%
"Moore County, North Carolina",Moore County, North Carolina,2018,"$82,706.00 ","$1,378.00 ","$6,892.17 ",20%
"Beaufort County, South Carolina",Beaufort County, South Carolina,2018,"$82,749.00 ","$1,645.00 ","$6,895.75 ",24%
"Chatham County, North Carolina",Chatham County, North Carolina,2016,"$82,831.00 ","$1,492.00 ","$6,902.58 ",22%
"Charleston County, South Carolina",Charleston County, South Carolina,2015,"$82,879.00 ","$1,630.00 ","$6,906.58 ",24%
"Union County, North Carolina",Union County, North Carolina,2013,"$82,978.00 ","$1,486.00 ","$6,914.83 ",21%
"Durham County, North Carolina",Durham County, North Carolina,2014,"$83,318.00 ","$1,428.00 ","$6,943.17 ",21%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2017,"$84,556.00 ","$1,358.00 ","$7,046.33 ",19%
"Union County, North Carolina",Union County, North Carolina,2015,"$84,613.00 ","$1,447.00 ","$7,051.08 ",21%
"York County, South Carolina",York County, South Carolina,2017,"$84,724.00 ","$1,276.00 ","$7,060.33 ",18%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2015,"$85,127.00 ","$1,422.00 ","$7,093.92 ",20%
"Durham County, North Carolina",Durham County, North Carolina,2015,"$85,172.00 ","$1,404.00 ","$7,097.67 ",20%
"Camden County, North Carolina",Camden County, North Carolina,2011,"$85,536.00 ","$1,606.00 ","$7,128.00 ",23%
"Charleston County, South Carolina",Charleston County, South Carolina,2016,"$85,646.00 ","$1,609.00 ","$7,137.17 ",23%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2016,"$87,258.00 ","$1,416.00 ","$7,271.50 ",19%
"Union County, North Carolina",Union County, North Carolina,2016,"$87,579.00 ","$1,460.00 ","$7,298.25 ",20%
"Durham County, North Carolina",Durham County, North Carolina,2016,"$87,583.00 ","$1,397.00 ","$7,298.58 ",19%
"York County, South Carolina",York County, South Carolina,2018,"$88,827.00 ","$1,335.00 ","$7,402.25 ",18%
"Cabarrus County, North Carolina",Cabarrus County, North Carolina,2018,"$89,619.00 ","$1,380.00 ","$7,468.25 ",18%
"Wake County, North Carolina",Wake County, North Carolina,2010,"$90,140.00 ","$1,580.00 ","$7,511.67 ",21%
"Union County, North Carolina",Union County, North Carolina,2017,"$90,831.00 ","$1,485.00 ","$7,569.25 ",20%
"Charleston County, South Carolina",Charleston County, South Carolina,2017,"$90,981.00 ","$1,646.00 ","$7,581.75 ",22%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2017,"$91,134.00 ","$1,431.00 ","$7,594.50 ",19%
"Chatham County, North Carolina",Chatham County, North Carolina,2017,"$91,341.00 ","$1,518.00 ","$7,611.75 ",20%
"Wake County, North Carolina",Wake County, North Carolina,2011,"$91,614.00 ","$1,605.00 ","$7,634.50 ",21%
"Durham County, North Carolina",Durham County, North Carolina,2017,"$92,180.00 ","$1,414.00 ","$7,681.67 ",18%
"Wake County, North Carolina",Wake County, North Carolina,2012,"$92,804.00 ","$1,595.00 ","$7,733.67 ",21%
"Wake County, North Carolina",Wake County, North Carolina,2013,"$93,264.00 ","$1,571.00 ","$7,772.00 ",20%
"Charleston County, South Carolina",Charleston County, South Carolina,2018,"$93,789.00 ","$1,701.00 ","$7,815.75 ",22%
"Mecklenburg County, North Carolina",Mecklenburg County, North Carolina,2018,"$94,554.00 ","$1,462.00 ","$7,879.50 ",19%
"Wake County, North Carolina",Wake County, North Carolina,2014,"$94,773.00 ","$1,563.00 ","$7,897.75 ",20%
"Durham County, North Carolina",Durham County, North Carolina,2018,"$95,284.00 ","$1,438.00 ","$7,940.33 ",18%
"Wake County, North Carolina",Wake County, North Carolina,2015,"$96,307.00 ","$1,533.00 ","$8,025.58 ",19%
"Union County, North Carolina",Union County, North Carolina,2018,"$97,190.00 ","$1,533.00 ","$8,099.17 ",19%
"Orange County, North Carolina",Orange County, North Carolina,2010,"$98,339.00 ","$1,778.00 ","$8,194.92 ",22%
"Wake County, North Carolina",Wake County, North Carolina,2016,"$99,870.00 ","$1,543.00 ","$8,322.50 ",19%
"Orange County, North Carolina",Orange County, North Carolina,2011,"$100,754.00 ","$1,831.00 ","$8,396.17 ",22%
"Orange County, North Carolina",Orange County, North Carolina,2014,"$100,889.00 ","$1,767.00 ","$8,407.42 ",21%
"Chatham County, North Carolina",Chatham County, North Carolina,2018,"$101,328.00 ","$1,600.00 ","$8,444.00 ",19%
"Orange County, North Carolina",Orange County, North Carolina,2013,"$101,657.00 ","$1,802.00 ","$8,471.42 ",21%
"Orange County, North Carolina",Orange County, North Carolina,2012,"$102,011.00 ","$1,840.00 ","$8,500.92 ",22%
"Orange County, North Carolina",Orange County, North Carolina,2015,"$102,305.00 ","$1,744.00 ","$8,525.42 ",20%
"Wake County, North Carolina",Wake County, North Carolina,2017,"$103,477.00 ","$1,568.00 ","$8,623.08 ",18%
"Orange County, North Carolina",Orange County, North Carolina,2016,"$104,553.00 ","$1,749.00 ","$8,712.75 ",20%
"Wake County, North Carolina",Wake County, North Carolina,2018,"$107,688.00 ","$1,612.00 ","$8,974.00 ",18%
"Orange County, North Carolina",Orange County, North Carolina,2017,"$107,984.00 ","$1,781.00 ","$8,998.67 ",20%
"Orange County, North Carolina",Orange County, North Carolina,2018,"$111,185.00 ","$1,797.00 ","$9,265.42 ",19%
